id,disease,text,symptoms
GERD_29,GERD,"Disease: GERD. Symptoms include: stomach_pain, acidity, ulcers_on_tongue, cough, chest_pain.","stomach_pain, acidity, ulcers_on_tongue, cough, chest_pain"
Chronic cholestasis_30,Chronic cholestasis,"Disease: Chronic cholestasis. Symptoms include: itching, vomiting, yellowish_skin, nausea, loss_of_appetite, abdominal_pain, yellowing_of_eyes.","itching, vomiting, yellowish_skin, nausea, loss_of_appetite, abdominal_pain, yellowing_of_eyes"
Chronic cholestasis_31,Chronic cholestasis,"Disease: Chronic cholestasis. Symptoms include: vomiting, yellowish_skin, nausea, loss_of_appetite, abdominal_pain, yellowing_of_eyes.","vomiting, yellowish_skin, nausea, loss_of_appetite, abdominal_pain, yellowing_of_eyes"
Chronic cholestasis_32,Chronic cholestasis,"Disease: Chronic cholestasis. Symptoms include: itching, yellowish_skin, nausea, loss_of_appetite, abdominal_pain, yellowing_of_eyes.","itching, yellowish_skin, nausea, loss_of_appetite, abdominal_pain, yellowing_of_eyes"
Chronic cholestasis_33,Chronic cholestasis,"Disease: Chronic cholestasis. Symptoms include: itching, vomiting, nausea, loss_of_appetite, abdominal_pain, yellowing_of_eyes.","itching, vomiting, nausea, loss_of_appetite, abdominal_pain, yellowing_of_eyes"
Chronic cholestasis_34,Chronic cholestasis,"Disease: Chronic cholestasis. Symptoms include: itching, vomiting, yellowish_skin, loss_of_appetite, abdominal_pain, yellowing_of_eyes.","itching, vomiting, yellowish_skin, loss_of_appetite, abdominal_pain, yellowing_of_eyes"
Chronic cholestasis_35,Chronic cholestasis,"Disease: Chronic cholestasis. Symptoms include: itching, vomiting, yellowish_skin, nausea, abdominal_pain, yellowing_of_eyes.","itching, vomiting, yellowish_skin, nausea, abdominal_pain, yellowing_of_eyes"
Chronic cholestasis_36,Chronic cholestasis,"Disease: Chronic cholestasis. Symptoms include: itching, vomiting, yellowish_skin, nausea, loss_of_appetite, yellowing_of_eyes.","itching, vomiting, yellowish_skin, nausea, loss_of_appetite, yellowing_of_eyes"
Chronic cholestasis_37,Chronic cholestasis,"Disease: Chronic cholestasis. Symptoms include: itching, vomiting, yellowish_skin, nausea, loss_of_appetite, abdominal_pain.","itching, vomiting, yellowish_skin, nausea, loss_of_appetite, abdominal_pain"
Chronic cholestasis_38,Chronic cholestasis,"Disease: Chronic cholestasis. Symptoms include: itching, vomiting, yellowish_skin, nausea, loss_of_appetite, abdominal_pain, yellowing_of_eyes.","itching, vomiting, yellowish_skin, nausea, loss_of_appetite, abdominal_pain, yellowing_of_eyes"
Chronic cholestasis_39,Chronic cholestasis,"Disease: Chronic cholestasis. Symptoms include: itching, vomiting, yellowish_skin, nausea, loss_of_appetite, abdominal_pain, yellowing_of_eyes.","itching, vomiting, yellowish_skin, nausea, loss_of_appetite, abdominal_pain, yellowing_of_eyes"
Drug Reaction_40,Drug Reaction,"Disease: Drug Reaction. Symptoms include: itching, skin_rash, stomach_pain, burning_micturition, spotting_ urination.","itching, skin_rash, stomach_pain, burning_micturition, spotting_ urination"
Drug Reaction_41,Drug Reaction,"Disease: Drug Reaction. Symptoms include: itching, stomach_pain, burning_micturition, spotting_ urination.","itching, stomach_pain, burning_micturition, spotting_ urination"
Drug Reaction_42,Drug Reaction,"Disease: Drug Reaction. Symptoms include: itching, skin_rash, burning_micturition, spotting_ urination.","itching, skin_rash, burning_micturition, spotting_ urination"
Drug Reaction_43,Drug Reaction,"Disease: Drug Reaction. Symptoms include: itching, skin_rash, stomach_pain, spotting_ urination.","itching, skin_rash, stomach_pain, spotting_ urination"
Drug Reaction_44,Drug Reaction,"Disease: Drug Reaction. Symptoms include: itching, skin_rash, stomach_pain, burning_micturition.","itching, skin_rash, stomach_pain, burning_micturition"
Drug Reaction_45,Drug Reaction,"Disease: Drug Reaction. Symptoms include: skin_rash, stomach_pain, burning_micturition, spotting_ urination.","skin_rash, stomach_pain, burning_micturition, spotting_ urination"
Drug Reaction_46,Drug Reaction,"Disease: Drug Reaction. Symptoms include: itching, stomach_pain, burning_micturition, spotting_ urination.","itching, stomach_pain, burning_micturition, spotting_ urination"
Drug Reaction_47,Drug Reaction,"Disease: Drug Reaction. Symptoms include: itching, skin_rash, burning_micturition, spotting_ urination.","itching, skin_rash, burning_micturition, spotting_ urination"
Drug Reaction_48,Drug Reaction,"Disease: Drug Reaction. Symptoms include: itching, skin_rash, stomach_pain, spotting_ urination.","itching, skin_rash, stomach_pain, spotting_ urination"
Drug Reaction_49,Drug Reaction,"Disease: Drug Reaction. Symptoms include: itching, skin_rash, stomach_pain, burning_micturition.","itching, skin_rash, stomach_pain, burning_micturition"
Peptic ulcer diseae_50,Peptic ulcer diseae,"Disease: Peptic ulcer diseae. Symptoms include: vomiting, loss_of_appetite, abdominal_pain, passage_of_gases, internal_itching.","vomiting, loss_of_appetite, abdominal_pain, passage_of_gases, internal_itching"
Peptic ulcer diseae_51,Peptic ulcer diseae,"Disease: Peptic ulcer diseae. Symptoms include: vomiting, indigestion, abdominal_pain, passage_of_gases, internal_itching.","vomiting, indigestion, abdominal_pain, passage_of_gases, internal_itching"
Peptic ulcer diseae_52,Peptic ulcer diseae,"Disease: Peptic ulcer diseae. Symptoms include: indigestion, loss_of_appetite, abdominal_pain, passage_of_gases, internal_itching.","indigestion, loss_of_appetite, abdominal_pain, passage_of_gases, internal_itching"
Peptic ulcer diseae_53,Peptic ulcer diseae,"Disease: Peptic ulcer diseae. Symptoms include: vomiting, loss_of_appetite, abdominal_pain, passage_of_gases, internal_itching.","vomiting, loss_of_appetite, abdominal_pain, passage_of_gases, internal_itching"
Peptic ulcer diseae_54,Peptic ulcer diseae,"Disease: Peptic ulcer diseae. Symptoms include: vomiting, indigestion, abdominal_pain, passage_of_gases, internal_itching.","vomiting, indigestion, abdominal_pain, passage_of_gases, internal_itching"
Peptic ulcer diseae_55,Peptic ulcer diseae,"Disease: Peptic ulcer diseae. Symptoms include: vomiting, indigestion, loss_of_appetite, passage_of_gases, internal_itching.","vomiting, indigestion, loss_of_appetite, passage_of_gases, internal_itching"
Peptic ulcer diseae_56,Peptic ulcer diseae,"Disease: Peptic ulcer diseae. Symptoms include: vomiting, indigestion, loss_of_appetite, abdominal_pain, internal_itching.","vomiting, indigestion, loss_of_appetite, abdominal_pain, internal_itching"
Peptic ulcer diseae_57,Peptic ulcer diseae,"Disease: Peptic ulcer diseae. Symptoms include: vomiting, indigestion, loss_of_appetite, abdominal_pain, passage_of_gases.","vomiting, indigestion, loss_of_appetite, abdominal_pain, passage_of_gases"
Peptic ulcer diseae_58,Peptic ulcer diseae,"Disease: Peptic ulcer diseae. Symptoms include: vomiting, indigestion, loss_of_appetite, abdominal_pain, passage_of_gases, internal_itching.","vomiting, indigestion, loss_of_appetite, abdominal_pain, passage_of_gases, internal_itching"
Peptic ulcer diseae_59,Peptic ulcer diseae,"Disease: Peptic ulcer diseae. Symptoms include: vomiting, indigestion, loss_of_appetite, abdominal_pain, passage_of_gases, internal_itching.","vomiting, indigestion, loss_of_appetite, abdominal_pain, passage_of_gases, internal_itching"
AIDS_60,AIDS,"Disease: AIDS. Symptoms include: muscle_wasting, patches_in_throat, high_fever, extra_marital_contacts.","muscle_wasting, patches_in_throat, high_fever, extra_marital_contacts"
AIDS_61,AIDS,"Disease: AIDS. Symptoms include: patches_in_throat, high_fever, extra_marital_contacts.","patches_in_throat, high_fever, extra_marital_contacts"
AIDS_62,AIDS,"Disease: AIDS. Symptoms include: muscle_wasting, high_fever, extra_marital_contacts.","muscle_wasting, high_fever, extra_marital_contacts"
AIDS_63,AIDS,"Disease: AIDS. Symptoms include: muscle_wasting, patches_in_throat, extra_marital_contacts.","muscle_wasting, patches_in_throat, extra_marital_contacts"
AIDS_64,AIDS,"Disease: AIDS. Symptoms include: muscle_wasting, patches_in_throat, high_fever.","muscle_wasting, patches_in_throat, high_fever"
AIDS_65,AIDS,"Disease: AIDS. Symptoms include: muscle_wasting, patches_in_throat, high_fever, extra_marital_contacts.","muscle_wasting, patches_in_throat, high_fever, extra_marital_contacts"
AIDS_66,AIDS,"Disease: AIDS. Symptoms include: muscle_wasting, patches_in_throat, high_fever, extra_marital_contacts.","muscle_wasting, patches_in_throat, high_fever, extra_marital_contacts"
AIDS_67,AIDS,"Disease: AIDS. Symptoms include: patches_in_throat, high_fever, extra_marital_contacts.","patches_in_throat, high_fever, extra_marital_contacts"
AIDS_68,AIDS,"Disease: AIDS. Symptoms include: muscle_wasting, high_fever, extra_marital_contacts.","muscle_wasting, high_fever, extra_marital_contacts"
AIDS_69,AIDS,"Disease: AIDS. Symptoms include: muscle_wasting, patches_in_throat, high_fever.","muscle_wasting, patches_in_throat, high_fever"
Diabetes _70,Diabetes ,"Disease: Diabetes . Symptoms include: fatigue, weight_loss, restlessness, lethargy, irregular_sugar_level, blurred_and_distorted_vision, obesity, excessive_hunger, increased_appetite, polyuria.","fatigue, weight_loss, restlessness, lethargy, irregular_sugar_level, blurred_and_distorted_vision, obesity, excessive_hunger, increased_appetite, polyuria"
Diabetes _71,Diabetes ,"Disease: Diabetes . Symptoms include: fatigue, weight_loss, restlessness, lethargy, irregular_sugar_level, blurred_and_distorted_vision, obesity, excessive_hunger, increased_appetite, polyuria.","fatigue, weight_loss, restlessness, lethargy, irregular_sugar_level, blurred_and_distorted_vision, obesity, excessive_hunger, increased_appetite, polyuria"
Diabetes _72,Diabetes ,"Disease: Diabetes . Symptoms include: weight_loss, restlessness, lethargy, irregular_sugar_level, blurred_and_distorted_vision, obesity, excessive_hunger, increased_appetite, polyuria.","weight_loss, restlessness, lethargy, irregular_sugar_level, blurred_and_distorted_vision, obesity, excessive_hunger, increased_appetite, polyuria"
Diabetes _73,Diabetes ,"Disease: Diabetes . Symptoms include: fatigue, restlessness, lethargy, irregular_sugar_level, blurred_and_distorted_vision, obesity, excessive_hunger, increased_appetite, polyuria.","fatigue, restlessness, lethargy, irregular_sugar_level, blurred_and_distorted_vision, obesity, excessive_hunger, increased_appetite, polyuria"
Diabetes _74,Diabetes ,"Disease: Diabetes . Symptoms include: fatigue, weight_loss, lethargy, irregular_sugar_level, blurred_and_distorted_vision, obesity, excessive_hunger, increased_appetite, polyuria.","fatigue, weight_loss, lethargy, irregular_sugar_level, blurred_and_distorted_vision, obesity, excessive_hunger, increased_appetite, polyuria"
Diabetes _75,Diabetes ,"Disease: Diabetes . Symptoms include: fatigue, weight_loss, restlessness, irregular_sugar_level, blurred_and_distorted_vision, obesity, excessive_hunger, increased_appetite, polyuria.","fatigue, weight_loss, restlessness, irregular_sugar_level, blurred_and_distorted_vision, obesity, excessive_hunger, increased_appetite, polyuria"
Diabetes _76,Diabetes ,"Disease: Diabetes . Symptoms include: fatigue, weight_loss, restlessness, lethargy, blurred_and_distorted_vision, obesity, excessive_hunger, increased_appetite, polyuria.","fatigue, weight_loss, restlessness, lethargy, blurred_and_distorted_vision, obesity, excessive_hunger, increased_appetite, polyuria"
Diabetes _77,Diabetes ,"Disease: Diabetes . Symptoms include: fatigue, weight_loss, restlessness, lethargy, irregular_sugar_level, obesity, excessive_hunger, increased_appetite, polyuria.","fatigue, weight_loss, restlessness, lethargy, irregular_sugar_level, obesity, excessive_hunger, increased_appetite, polyuria"
Diabetes _78,Diabetes ,"Disease: Diabetes . Symptoms include: fatigue, weight_loss, restlessness, lethargy, irregular_sugar_level, blurred_and_distorted_vision, excessive_hunger, increased_appetite, polyuria.","fatigue, weight_loss, restlessness, lethargy, irregular_sugar_level, blurred_and_distorted_vision, excessive_hunger, increased_appetite, polyuria"
Diabetes _79,Diabetes ,"Disease: Diabetes . Symptoms include: fatigue, weight_loss, restlessness, lethargy, irregular_sugar_level, blurred_and_distorted_vision, obesity, increased_appetite, polyuria.","fatigue, weight_loss, restlessness, lethargy, irregular_sugar_level, blurred_and_distorted_vision, obesity, increased_appetite, polyuria"
Gastroenteritis_80,Gastroenteritis,"Disease: Gastroenteritis. Symptoms include: vomiting, sunken_eyes, dehydration, diarrhoea.","vomiting, sunken_eyes, dehydration, diarrhoea"
Gastroenteritis_81,Gastroenteritis,"Disease: Gastroenteritis. Symptoms include: vomiting, sunken_eyes, dehydration, diarrhoea.","vomiting, sunken_eyes, dehydration, diarrhoea"
Gastroenteritis_82,Gastroenteritis,"Disease: Gastroenteritis. Symptoms include: sunken_eyes, dehydration, diarrhoea.","sunken_eyes, dehydration, diarrhoea"
Gastroenteritis_83,Gastroenteritis,"Disease: Gastroenteritis. Symptoms include: vomiting, dehydration, diarrhoea.","vomiting, dehydration, diarrhoea"
Gastroenteritis_84,Gastroenteritis,"Disease: Gastroenteritis. Symptoms include: vomiting, sunken_eyes, diarrhoea.","vomiting, sunken_eyes, diarrhoea"
Gastroenteritis_85,Gastroenteritis,"Disease: Gastroenteritis. Symptoms include: vomiting, sunken_eyes, dehydration.","vomiting, sunken_eyes, dehydration"
Gastroenteritis_86,Gastroenteritis,"Disease: Gastroenteritis. Symptoms include: vomiting, sunken_eyes, dehydration, diarrhoea.","vomiting, sunken_eyes, dehydration, diarrhoea"
Gastroenteritis_87,Gastroenteritis,"Disease: Gastroenteritis. Symptoms include: sunken_eyes, dehydration, diarrhoea.","sunken_eyes, dehydration, diarrhoea"
Gastroenteritis_88,Gastroenteritis,"Disease: Gastroenteritis. Symptoms include: vomiting, dehydration, diarrhoea.","vomiting, dehydration, diarrhoea"
Gastroenteritis_89,Gastroenteritis,"Disease: Gastroenteritis. Symptoms include: vomiting, sunken_eyes, diarrhoea.","vomiting, sunken_eyes, diarrhoea"
Bronchial Asthma_90,Bronchial Asthma,"Disease: Bronchial Asthma. Symptoms include: fatigue, cough, high_fever, breathlessness, family_history, mucoid_sputum.","fatigue, cough, high_fever, breathlessness, family_history, mucoid_sputum"
Bronchial Asthma_91,Bronchial Asthma,"Disease: Bronchial Asthma. Symptoms include: cough, high_fever, breathlessness, family_history, mucoid_sputum.","cough, high_fever, breathlessness, family_history, mucoid_sputum"
Bronchial Asthma_92,Bronchial Asthma,"Disease: Bronchial Asthma. Symptoms include: fatigue, high_fever, breathlessness, family_history, mucoid_sputum.","fatigue, high_fever, breathlessness, family_history, mucoid_sputum"
Bronchial Asthma_93,Bronchial Asthma,"Disease: Bronchial Asthma. Symptoms include: fatigue, cough, breathlessness, family_history, mucoid_sputum.","fatigue, cough, breathlessness, family_history, mucoid_sputum"
Bronchial Asthma_94,Bronchial Asthma,"Disease: Bronchial Asthma. Symptoms include: fatigue, cough, high_fever, family_history, mucoid_sputum.","fatigue, cough, high_fever, family_history, mucoid_sputum"
Bronchial Asthma_95,Bronchial Asthma,"Disease: Bronchial Asthma. Symptoms include: fatigue, cough, high_fever, breathlessness, mucoid_sputum.","fatigue, cough, high_fever, breathlessness, mucoid_sputum"
Bronchial Asthma_96,Bronchial Asthma,"Disease: Bronchial Asthma. Symptoms include: fatigue, cough, high_fever, breathlessness, family_history.","fatigue, cough, high_fever, breathlessness, family_history"
Bronchial Asthma_97,Bronchial Asthma,"Disease: Bronchial Asthma. Symptoms include: fatigue, cough, high_fever, breathlessness, family_history, mucoid_sputum.","fatigue, cough, high_fever, breathlessness, family_history, mucoid_sputum"
Bronchial Asthma_98,Bronchial Asthma,"Disease: Bronchial Asthma. Symptoms include: cough, high_fever, breathlessness, family_history, mucoid_sputum.","cough, high_fever, breathlessness, family_history, mucoid_sputum"
Bronchial Asthma_99,Bronchial Asthma,"Disease: Bronchial Asthma. Symptoms include: fatigue, high_fever, breathlessness, family_history, mucoid_sputum.","fatigue, high_fever, breathlessness, family_history, mucoid_sputum"
Hypertension _100,Hypertension ,"Disease: Hypertension . Symptoms include: headache, chest_pain, dizziness, loss_of_balance, lack_of_concentration.","headache, chest_pain, dizziness, loss_of_balance, lack_of_concentration"
Hypertension _101,Hypertension ,"Disease: Hypertension . Symptoms include: chest_pain, dizziness, loss_of_balance, lack_of_concentration.","chest_pain, dizziness, loss_of_balance, lack_of_concentration"
Hypertension _102,Hypertension ,"Disease: Hypertension . Symptoms include: headache, dizziness, loss_of_balance, lack_of_concentration.","headache, dizziness, loss_of_balance, lack_of_concentration"
Hypertension _103,Hypertension ,"Disease: Hypertension . Symptoms include: headache, chest_pain, loss_of_balance, lack_of_concentration.","headache, chest_pain, loss_of_balance, lack_of_concentration"
Hypertension _104,Hypertension ,"Disease: Hypertension . Symptoms include: headache, chest_pain, dizziness, lack_of_concentration.","headache, chest_pain, dizziness, lack_of_concentration"
Hypertension _105,Hypertension ,"Disease: Hypertension . Symptoms include: headache, chest_pain, dizziness, loss_of_balance.","headache, chest_pain, dizziness, loss_of_balance"
Hypertension _106,Hypertension ,"Disease: Hypertension . Symptoms include: headache, chest_pain, dizziness, loss_of_balance, lack_of_concentration.","headache, chest_pain, dizziness, loss_of_balance, lack_of_concentration"
Hypertension _107,Hypertension ,"Disease: Hypertension . Symptoms include: chest_pain, dizziness, loss_of_balance, lack_of_concentration.","chest_pain, dizziness, loss_of_balance, lack_of_concentration"
Hypertension _108,Hypertension ,"Disease: Hypertension . Symptoms include: headache, dizziness, loss_of_balance, lack_of_concentration.","headache, dizziness, loss_of_balance, lack_of_concentration"
Hypertension _109,Hypertension ,"Disease: Hypertension . Symptoms include: headache, chest_pain, loss_of_balance, lack_of_concentration.","headache, chest_pain, loss_of_balance, lack_of_concentration"
Migraine_110,Migraine,"Disease: Migraine. Symptoms include: acidity, indigestion, headache, blurred_and_distorted_vision, excessive_hunger, stiff_neck, depression, irritability, visual_disturbances.","acidity, indigestion, headache, blurred_and_distorted_vision, excessive_hunger, stiff_neck, depression, irritability, visual_disturbances"
Migraine_111,Migraine,"Disease: Migraine. Symptoms include: indigestion, headache, blurred_and_distorted_vision, excessive_hunger, stiff_neck, depression, irritability, visual_disturbances.","indigestion, headache, blurred_and_distorted_vision, excessive_hunger, stiff_neck, depression, irritability, visual_disturbances"
Migraine_112,Migraine,"Disease: Migraine. Symptoms include: acidity, headache, blurred_and_distorted_vision, excessive_hunger, stiff_neck, depression, irritability, visual_disturbances.","acidity, headache, blurred_and_distorted_vision, excessive_hunger, stiff_neck, depression, irritability, visual_disturbances"
Migraine_113,Migraine,"Disease: Migraine. Symptoms include: acidity, indigestion, blurred_and_distorted_vision, excessive_hunger, stiff_neck, depression, irritability, visual_disturbances.","acidity, indigestion, blurred_and_distorted_vision, excessive_hunger, stiff_neck, depression, irritability, visual_disturbances"
Migraine_114,Migraine,"Disease: Migraine. Symptoms include: acidity, indigestion, headache, excessive_hunger, stiff_neck, depression, irritability, visual_disturbances.","acidity, indigestion, headache, excessive_hunger, stiff_neck, depression, irritability, visual_disturbances"
Migraine_115,Migraine,"Disease: Migraine. Symptoms include: acidity, indigestion, headache, blurred_and_distorted_vision, stiff_neck, depression, irritability, visual_disturbances.","acidity, indigestion, headache, blurred_and_distorted_vision, stiff_neck, depression, irritability, visual_disturbances"
Migraine_116,Migraine,"Disease: Migraine. Symptoms include: acidity, indigestion, headache, blurred_and_distorted_vision, excessive_hunger, depression, irritability, visual_disturbances.","acidity, indigestion, headache, blurred_and_distorted_vision, excessive_hunger, depression, irritability, visual_disturbances"
Migraine_117,Migraine,"Disease: Migraine. Symptoms include: acidity, indigestion, headache, blurred_and_distorted_vision, excessive_hunger, stiff_neck, irritability, visual_disturbances.","acidity, indigestion, headache, blurred_and_distorted_vision, excessive_hunger, stiff_neck, irritability, visual_disturbances"
Migraine_118,Migraine,"Disease: Migraine. Symptoms include: acidity, indigestion, headache, blurred_and_distorted_vision, excessive_hunger, stiff_neck, depression, visual_disturbances.","acidity, indigestion, headache, blurred_and_distorted_vision, excessive_hunger, stiff_neck, depression, visual_disturbances"
Migraine_119,Migraine,"Disease: Migraine. Symptoms include: acidity, indigestion, headache, blurred_and_distorted_vision, excessive_hunger, stiff_neck, depression, irritability.","acidity, indigestion, headache, blurred_and_distorted_vision, excessive_hunger, stiff_neck, depression, irritability"
Cervical spondylosis_120,Cervical spondylosis,"Disease: Cervical spondylosis. Symptoms include: back_pain, weakness_in_limbs, neck_pain, dizziness, loss_of_balance.","back_pain, weakness_in_limbs, neck_pain, dizziness, loss_of_balance"
Cervical spondylosis_121,Cervical spondylosis,"Disease: Cervical spondylosis. Symptoms include: back_pain, weakness_in_limbs, neck_pain, dizziness, loss_of_balance.","back_pain, weakness_in_limbs, neck_pain, dizziness, loss_of_balance"
Cervical spondylosis_122,Cervical spondylosis,"Disease: Cervical spondylosis. Symptoms include: weakness_in_limbs, neck_pain, dizziness, loss_of_balance.","weakness_in_limbs, neck_pain, dizziness, loss_of_balance"
Cervical spondylosis_123,Cervical spondylosis,"Disease: Cervical spondylosis. Symptoms include: back_pain, neck_pain, dizziness, loss_of_balance.","back_pain, neck_pain, dizziness, loss_of_balance"
Cervical spondylosis_124,Cervical spondylosis,"Disease: Cervical spondylosis. Symptoms include: back_pain, weakness_in_limbs, dizziness, loss_of_balance.","back_pain, weakness_in_limbs, dizziness, loss_of_balance"
Cervical spondylosis_125,Cervical spondylosis,"Disease: Cervical spondylosis. Symptoms include: back_pain, weakness_in_limbs, neck_pain, loss_of_balance.","back_pain, weakness_in_limbs, neck_pain, loss_of_balance"
Cervical spondylosis_126,Cervical spondylosis,"Disease: Cervical spondylosis. Symptoms include: back_pain, weakness_in_limbs, neck_pain, dizziness.","back_pain, weakness_in_limbs, neck_pain, dizziness"
Cervical spondylosis_127,Cervical spondylosis,"Disease: Cervical spondylosis. Symptoms include: back_pain, weakness_in_limbs, neck_pain, dizziness, loss_of_balance.","back_pain, weakness_in_limbs, neck_pain, dizziness, loss_of_balance"
Cervical spondylosis_128,Cervical spondylosis,"Disease: Cervical spondylosis. Symptoms include: weakness_in_limbs, neck_pain, dizziness, loss_of_balance.","weakness_in_limbs, neck_pain, dizziness, loss_of_balance"
Cervical spondylosis_129,Cervical spondylosis,"Disease: Cervical spondylosis. Symptoms include: back_pain, neck_pain, dizziness, loss_of_balance.","back_pain, neck_pain, dizziness, loss_of_balance"
Paralysis (brain hemorrhage)_130,Paralysis (brain hemorrhage),"Disease: Paralysis (brain hemorrhage). Symptoms include: vomiting, headache, weakness_of_one_body_side, altered_sensorium.","vomiting, headache, weakness_of_one_body_side, altered_sensorium"
Paralysis (brain hemorrhage)_131,Paralysis (brain hemorrhage),"Disease: Paralysis (brain hemorrhage). Symptoms include: vomiting, headache, weakness_of_one_body_side, altered_sensorium.","vomiting, headache, weakness_of_one_body_side, altered_sensorium"
Paralysis (brain hemorrhage)_132,Paralysis (brain hemorrhage),"Disease: Paralysis (brain hemorrhage). Symptoms include: headache, weakness_of_one_body_side, altered_sensorium.","headache, weakness_of_one_body_side, altered_sensorium"
Paralysis (brain hemorrhage)_133,Paralysis (brain hemorrhage),"Disease: Paralysis (brain hemorrhage). Symptoms include: vomiting, weakness_of_one_body_side, altered_sensorium.","vomiting, weakness_of_one_body_side, altered_sensorium"
Paralysis (brain hemorrhage)_134,Paralysis (brain hemorrhage),"Disease: Paralysis (brain hemorrhage). Symptoms include: vomiting, headache, altered_sensorium.","vomiting, headache, altered_sensorium"
